country.code
ALB
DZA
ASM
AGO
ARG
ARM
AUS
AUT
AZE
BHR
BGD
BLR
BEL
BEN
BMU
BOL
BIH
BWA
BRA
BRN
BGR
BFA
BDI
KHM
CMR
CAN
CPV
CAF
CHL
CHN
HKG
MAC
COL
COG
CRI
CIV
HRV
CUB
CYP
CZE
COD
DNK
ECU
EGY
SLV
EST
ETH
FRO
FIN
FRA
GAB
GMB
GEO
DEU
GHA
GRC
GRL
GUM
GTM
GIN
HND
HUN
ISL
IND
IDN
IRN
IRQ
IRL
ISR
ITA
JAM
JPN
JOR
KAZ
KEN
KWT
KGZ
LAO
LVA
LSO
LBY
LTU
LUX
MDG
MWI
MYS
MLI
MLT
MUS
MEX
MCO
MNG
MNE
MAR
MOZ
MMR
NAM
NRU
NPL
NLD
NZL
NIC
NER
NGA
NOR
OMN
PAK
PSE
PAN
PRY
PER
PHL
POL
PRT
PRI
QAT
KOR
MDA
ROU
RUS
RWA
SHN
LCA
VCT
SAU
SEN
SRB
SYC
SGP
SVK
SVN
ZAF
ESP
LKA
SDN
XDN
SWE
CHE
TJK
THA
MKD
TGO
TTO
TUN
TUR
UGA
UKR
ARE
GBR
TZA
USA
VIR
URY
UZB
VEN
VNM
ZMB
ZWE










