country.code
AFG
ALB
DZA
ASM
AND
AGO
AIA
ATG
ARG
ARM
ABW
AUS
AUT
AZE
BHS
BHR
BGD
BRB
BLR
BEL
BLZ
BEN
BMU
BTN
BOL
BIH
BWA
BRA
VGB
BRN
BGR
BFA
BDI
KHM
CMR
CAN
CPV
CYM
CAF
TCD
ZZA
CHL
CHN
HKG
MAC
COL
COM
COG
COK
CRI
CIV
HRV
CUB
CUW
CYP
CZE
PRK
COD
DNK
DJI
DMA
DOM
ECU
EGY
SLV
GNQ
ERI
EST
ETH
FRO
FJI
FIN
FRA
GUF
PYF
GAB
GMB
GEO
DEU
GHA
GIB
GRC
GRL
GRD
GLP
GUM
GTM
GIN
GNB
GUY
HTI
HND
HUN
ISL
IND
IDN
IRN
IRQ
IRL
IMN
ISR
ITA
JAM
JPN
JOR
KAZ
KEN
KIR
KWT
KGZ
LAO
LVA
LBN
LSO
LBR
LBY
LIE
LTU
LUX
MDG
MWI
MYS
MDV
MLI
MLT
MHL
MTQ
MRT
MUS
MYT
MEX
FSM
MCO
MNG
MNE
MSR
MAR
MOZ
MMR
NAM
NRU
NPL
NLD
NCL
NZL
NIC
NER
NGA
NIU
MNP
NOR
OMN
PAK
PLW
PSE
PAN
PNG
PRY
PER
PHL
POL
PRT
PRI
QAT
KOR
MDA
REU
ROU
RUS
RWA
KNA
LCA
VCT
MAF
WSM
SMR
STP
SAU
SEN
SRB
SYC
SLE
SGP
SXM
SVK
SVN
SLB
SOM
ZAF
SSD
ESP
LKA
SDN
SUR
SWZ
SWE
CHE
SYR
TJK
THA
MKD
TLS
TGO
TKL
TON
TTO
TUN
TUR
TKM
TCA
TUV
UGA
UKR
ARE
GBR
TZA
USA
VIR
URY
UZB
VUT
VEN
VNM
ESH
YEM
ZMB
ZWE
