"country.code"
"AND"
"ABW"
"AUS"
"AUT"
"BHS"
"BHR"
"BRB"
"BEL"
"BMU"
"BRN"
"CAN"
"CYM"
NA
"HRV"
"CUW"
"CYP"
"CZE"
"DNK"
"EST"
"GNQ"
"FRO"
"FIN"
"FRA"
"PYF"
"DEU"
"GRC"
"GRL"
"GUM"
"HKG"
"HUN"
"ISL"
"IRL"
"IMN"
"ISR"
"ITA"
"JPN"
"KOR"
"KWT"
"LIE"
"LUX"
"MAC"
"MLT"
"MCO"
"NLD"
"NCL"
"NZL"
"MNP"
"NOR"
"OMN"
"POL"
"PRT"
"PRI"
"QAT"
"SMR"
"SAU"
"SGP"
"SXM"
"SVK"
"SVN"
"ESP"
"KNA"
NA
"SWE"
"CHE"
"TTO"
"TCA"
"ARE"
"GBR"
"USA"
"VIR"
