"country.code"
"AUT"
"BEL"
"CYP"
"EST"
"FIN"
"FRA"
"DEU"
"GRC"
"IRL"
"ITA"
"LUX"
"MLT"
"NLD"
"PRT"
"SVK"
"SVN"
"ESP"
